,North,Center,South
Ø DC-power [kW],97.84362905085803,94.15611053981556,105.37891732870148
Ø AC-power [kW],91.43327848166773,87.91629724357428,98.74100891901028
Ø Inverter efficiency (weighted) [%],93.44837202853722,93.37290669669001,93.70091420754876
Ø Inverter efficiency (not weighted) [%],79.64999281282601,79.01297181663308,81.67567659475691
Ø Global irradiance POA [W/m²],125.77042469584667,119.67343958734945,135.94259485769624
Ø Full load hours [h/a],800.9555194994093,770.1467638537107,864.9712381305301
