,0°,10°,20°,30°,40°,50°,60°
Rated power PV [MW],20.906742,17.825995,16.373432,15.498557,15.042373,14.937241,15.531414
Capacity battery [MWh],41.988609,46.383499,48.710442,50.606103000000004,52.259353000000004,53.764038,54.606512
Total demand [GWh],41.9661,41.9661,41.9661,41.9661,41.9661,41.9661,41.9661
Total unused energy (loss) [GWh],439.0888311912305,390.70220994951995,367.21440333129647,348.19836212145265,331.83868359062853,317.00262188928554,310.8717884579132
Total discounted costs [Million €],38.35539302497284,38.764861587483935,39.05969224117007,39.3041963193447,39.525649376963784,39.7292156779553,39.92278032969476
Total LCOE [ct/kWh],149.07988541421727,150.6714093581939,151.81735824834112,152.76769761610225,153.62844219074358,154.41966445266257,155.1720122667698
Theoretical total LCOE [ct/kWh],12.49907264789421,14.036390487873827,14.949178220244843,15.770406265335126,16.547853487739953,17.314766095480465,17.698291246513406
