,North,Center,South
Rated power PV [MW],23.07258,20.906712,16.263288
Capacity battery [MWh],35.147762,41.98791000000001,11.239158
Total demand [GWh],41.9661,41.9661,41.9661
Total unused energy (loss) [GWh],510.508489989869,439.093533236702,378.10373940405606
Total discounted costs [Million €],37.54135014332866,38.3552080177775,17.98257258351885
Total LCOE [ct/kWh],145.9158604897755,149.07916632755678,69.8947305391543
Theoretical total LCOE [ct/kWh],10.65948882881929,12.498898604233297,6.710079674383533
